,x,y,class,0,1
276,95,2,3,0.07582393,0.46097493
277,96,2,3,0.16014892,0.66167593
278,97,2,3,0.19797264,0.68439853
279,98,2,3,0.10004291,0.57588416
280,99,2,3,0.23612821,0.73018444
281,100,2,3,0.16344373,0.6402688
282,101,2,3,0.11936656,0.49852514
283,102,2,3,0.17940943,0.6523972
284,103,2,3,0.15946755,0.64027977
285,104,2,3,0.20043254,0.6925226
286,105,2,3,0.14059637,0.6046516
287,106,2,3,0.123832464,0.57431316
288,107,2,3,0.10295133,0.55039436
289,108,2,3,0.22023155,0.71673185
290,109,2,3,0.10539043,0.57089275
291,110,2,3,0.19826846,0.6609918
292,111,2,3,0.05615141,0.4914384
293,112,2,3,0.029550832,0.4102003
294,113,2,3,0.05121588,0.4319891
295,114,2,3,0.1527354,0.6610485
296,115,2,3,0.13262053,0.6028182
297,116,2,3,0.20699911,0.69137937
298,117,2,3,0.16619347,0.66319036
299,118,2,3,0.10804999,0.57824576
300,119,2,3,0.22093214,0.7117979
301,120,2,3,0.12543377,0.61721206
302,121,2,3,0.07917306,0.5354562
303,122,2,3,0.1767035,0.6720388
304,123,2,3,0.16078845,0.661361
305,125,2,3,0.09375412,0.59041864
306,126,2,3,0.22454713,0.7223628
307,127,2,3,0.11791265,0.61632055
308,0,3,3,0.3102147,0.56000966
309,1,3,3,0.3657595,0.61168426
310,2,3,2,0.46227983,0.5991755
311,3,3,3,0.2642701,0.4476626
312,4,3,3,0.29388335,0.5443016
313,5,3,3,0.37887284,0.6504069
314,6,3,3,0.36938146,0.6356897
315,7,3,3,0.31095898,0.593714
316,8,3,3,0.2314529,0.44480395
317,9,3,2,0.40315282,0.6534949
318,10,3,3,0.32653219,0.5874529
319,11,3,3,0.32458368,0.55660987
320,12,3,2,0.4203247,0.66340643
321,13,3,3,0.3719799,0.6015264
322,14,3,3,0.32872158,0.50543773
323,15,3,3,0.39518476,0.62554
324,16,3,3,0.37939712,0.59995675
325,17,3,3,0.37005103,0.55234057
326,21,3,3,0.2413504,0.47666165
327,25,3,3,0.21772192,0.4151377
328,27,3,3,0.24223587,0.4474893
329,31,3,3,0.33938658,0.5627542
330,32,3,3,0.330973,0.5416801
331,33,3,3,0.40820107,0.58410174
332,36,3,3,0.3687641,0.5585887
333,37,3,3,0.07444185,0.31637493
334,39,3,3,0.07445679,0.49161053
335,42,3,3,0.30170953,0.41616008
336,43,3,3,0.40493068,0.6025351
337,45,3,3,0.3687498,0.5573667
338,49,3,3,0.1072055,0.2731028
339,50,3,3,0.06651826,0.26522148
340,51,3,3,0.32736674,0.5675658
341,53,3,3,0.34497163,0.4668693
342,54,3,3,0.25186673,0.40961254
343,55,3,3,0.34908545,0.54222834
344,56,3,3,0.16511542,0.43032485
345,58,3,3,0.0887357,0.2640941
346,59,3,3,0.21497412,0.37981924
347,60,3,3,0.30378458,0.4330628
348,61,3,3,0.32314014,0.63700384
349,62,3,3,0.16856828,0.6348371
350,63,3,3,0.2816096,0.39769608
351,64,3,3,0.2762519,0.38854223
352,65,3,3,0.28041205,0.5596467
353,66,3,3,0.27333137,0.4480492
354,67,3,3,0.18524279,0.47706714
355,68,3,3,0.2905111,0.56403047
356,69,3,3,0.12473588,0.4571705
357,70,3,3,0.09796871,0.43017083
358,71,3,3,0.20615195,0.5820903
359,72,3,3,0.17712675,0.6453394
360,73,3,3,0.13108608,0.6294628
361,74,3,3,0.07609195,0.5567775
362,75,3,3,0.19434471,0.7101807
363,77,3,3,0.07520857,0.5183056
364,78,3,3,0.13788745,0.626706
365,79,3,3,0.13322905,0.63051116
366,80,3,3,0.09482147,0.5802966
367,81,3,3,0.041750077,0.42562687
368,82,3,3,0.04149538,0.42028245
369,83,3,3,0.13980658,0.627205
370,84,3,3,0.23830423,0.71492237
371,85,3,3,0.20810977,0.69948465
372,86,3,3,0.058916744,0.5308886
